fecha_ini,file_input,file_ext,names,radar_id,range,volumen,estrategia,variable,config,state,file_output
2021-04-09 18:40:02,/data/OBS/radar/PAR/240/2021040918400200dBZ.vol,vol,2021040918400200dBZ.vol,PAR,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184002.PAR_0240_IN.nc
2021-04-09 18:30:02,/data/OBS/radar/PAR/240/2021040918300200RhoHV.vol,vol,2021040918300200RhoHV.vol,PAR,240,IN,0240,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183002.PAR_0240_IN.nc
2021-04-09 18:40:02,/data/OBS/radar/PAR/240/2021040918400200RhoHV.vol,vol,2021040918400200RhoHV.vol,PAR,240,IN,0240,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184002.PAR_0240_IN.nc
2021-04-09 18:50:02,/data/OBS/radar/PAR/240/2021040918500200dBZ.vol,vol,2021040918500200dBZ.vol,PAR,240,IN,0240,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185002.PAR_0240_IN.nc
2021-04-09 18:50:02,/data/OBS/radar/PAR/240/2021040918500200RhoHV.vol,vol,2021040918500200RhoHV.vol,PAR,240,IN,0240,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185002.PAR_0240_IN.nc
2021-04-09 18:44:30,/data/OBS/radar/PAR/120/2021040918443000RhoHV.vol,vol,2021040918443000RhoHV.vol,PAR,120,IN,0120,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184430.PAR_0120_IN.nc
2021-04-09 18:44:30,/data/OBS/radar/PAR/120/2021040918443000dBZ.vol,vol,2021040918443000dBZ.vol,PAR,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_184430.PAR_0120_IN.nc
2021-04-09 18:34:31,/data/OBS/radar/PAR/120/2021040918343100dBZ.vol,vol,2021040918343100dBZ.vol,PAR,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183431.PAR_0120_IN.nc
2021-04-09 18:34:31,/data/OBS/radar/PAR/120/2021040918343100RhoHV.vol,vol,2021040918343100RhoHV.vol,PAR,120,IN,0120,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183431.PAR_0120_IN.nc
2021-04-09 18:54:31,/data/OBS/radar/PAR/120/2021040918543100dBZ.vol,vol,2021040918543100dBZ.vol,PAR,120,IN,0120,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185431.PAR_0120_IN.nc
2021-04-09 18:54:31,/data/OBS/radar/PAR/120/2021040918543100RhoHV.vol,vol,2021040918543100RhoHV.vol,PAR,120,IN,0120,cross_correlation_ratio,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_185431.PAR_0120_IN.nc
2021-04-09 18:36:20,/data/OBS/radar/RMA6/2021/04/09/18/3620/RMA6_0200_01_DBZH_20210409T183620Z.H5,H5,RMA6_0200_01_DBZH_20210409T183620Z.H5,RMA6,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183620.RMA6_0200_01.nc
2021-04-09 18:27:28,/data/OBS/radar/RMA6/2021/04/09/18/2728/RMA6_0200_01_DBZH_20210409T182728Z.H5,H5,RMA6_0200_01_DBZH_20210409T182728Z.H5,RMA6,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_182728.RMA6_0200_01.nc
2021-04-09 18:36:09,/data/OBS/radar/RMA7/2021/04/09/18/3609/RMA7_0200_01_DBZH_20210409T183609Z.H5,H5,RMA7_0200_01_DBZH_20210409T183609Z.H5,RMA7,240,01,0200,reflectivity,tiempoReal,P,/data/OBS/qc-radar//cfrad.20210409_183609.RMA7_0200_01.nc
